year,date,sitenumber,site,protocol,richness,EPT,MCI,SQMCI,Acarina,Dolomedes aquaticus,Hydra,Antiporus,Elmidae   ,Enochrus,Hydraenidae ,Hydrophilidae ,Ptilodactylidae ,Staphylinidae,Scirtidae ,Rhantus,Copelatus,Podaena,Liodessus,Collembola,Amphipoda,Paranthura,Tanaidacae,Cladocera,Copepoda,Isopoda,Ostracoda,Paracalliope,Paraleptamphopus ,Paranephrops ,Paratya,Anthomyiidae,Aphrophilia,Austrosimulium ,Ceratopogonidae,Chironomus,Chironomidae,Corynoneura,Culex,Culicidae,Dolichopodidae,Empididae,Ephydridae,Eriopterini ,Harrisius,Hexatomini ,Limonia,Limnophora,Lobodiamesa,Maoridiamesa,Mischoderus,Molophilus,Muscidae,Neocurupira ,Neolimnia,Nothodixa,Orthocladiinae,Paradixa ,Paralimnophila,Parochlus,Paucispinigera,Polypedilum,Psychodidae,Sciomyzidae,Stratiomyidae ,Tabanidae ,Tanypodinae,Tanytarsini,Tanytarsus,Thaumaleidae,Zelandotipula,Acanthophlebia ,Ameletopsis ,Arachnocolus ,Atalophlebioides,Austroclima ,Austronella,Coloburiscus ,Deleatidium ,Ichthybotus ,Isothraulus,Mauiulus,Neozephlebia ,Nesameletus ,Oniscigaster,Rallidens,Siphlaenigma,Tepakia,Zephlebia ,Anisops,Diaprepocoris,Microvelia,Saldidae,Sigara,Hirudinea,Hygraula,Archichauliodes,Ferrissia,Gyraulus,Hyridella,Latia,Lymnaeidae,Melanopsis,Physidae,Potamopyrgus ,Sphaeriidae,Nematoda,Nemertea,Nematomorpha,Kempynus,Aeschna,Anisoptera,Antipodochlora ,Austroletes,Hemicordulia,Procordulia,Uropetala,Xanthocnemis,Oligochaeta,Platyhelminthes,Acroperla,Austroperla ,Megaleptoperla ,Nesoperla,Spaniocerca,Stenoperla ,Taraperla,Zelandoperla ,Zelandobius ,Alloecentrella,Aoteapsyche ,Beraeoptera,Confluens,Costachorema ,Ecnomina ,Helicopsyche ,Hudsonema ,Hydrobiosella ,Hydrobiosis ,Hydrochorema,Neurochorema ,Oecetis,Oeconesidae,Olinga,Orthopsyche ,Oxyethira ,Paroxyethira ,Plectrocnemia ,Polyplectropus ,Psilochorema ,Pycnocentria ,Pycnocentrodes,Triplectides ,Tiphobiosis,Zelandoptila,Zelolessica,Polychaeta,Rhabdocoela,Ischnura,Mysidae,Bryozoa
2006,7/03/2006,7722,Eskdale Lower,soft,13,7.692307692,82.15384615,2.250355872,,,,,,,,,,,,,,,,,R,,,,,,,R,,,C,,,,,R,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,VVA,R,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,
2006,7/03/2006,7723,Eskdale Mid,soft,11,9.090909091,88.90909091,3.289473684,,,,,,,,,,,,,,,,,,,,,,,,A,,R,A,,,,,R,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,VA,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,
2006,7/03/2006,7724,Eskdale Upper,soft,16,31.25,132.75,4.31091954,,,,,,,,R,,,,,,,,,C,,,,,,,C,,R,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,,C,,,,,,,C,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,
2006,14/03/2006,45743,Hoteo @ Kraak Hill,soft,30,26.66666667,106.8666667,3.364577259,,,,,C,,,R,R,,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,R,,R,R,,,,R,,,R,,R,,R,,R,,,R,,C,,,,,,,,,,,,C,VA,,,R,,R,,,R,R,,,,A,,,VVA,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,A,,R,,,,R,,
2006,6/04/2006,8552,Hunua @ St Pauls,Hard,20,45,133,7.970967742,,,,,C,,R,,C,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VA,,A,VA,,,,,C,,,,,R,,,,,,,,A,,,,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,,,,R,A,,,,,R,,,,,,,,,,,
2006,2/03/2006,43512,Kauritutahi (Awhitu),soft,11,27.27272727,126.1818182,5.890789474,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,
2006,23/03/2006,1543482,Konini,Hard,28,42.85714286,137.8571429,8.456140351,,,,,C,,C,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,C,,,R,,,,,C,,,,,,,,,,,R,,,C,,A,A,C,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,VA,,,A,C,,,,VA,,C,R,,R,,,C,A,R,,,,R,,A,,,,,,,,,
2006,15/03/2006,45369,Kumeu @ Weza,soft,15,20,70.13333333,3.391034483,,,,,,,,,,,,,,,,,,,,,,,,VA,,,C,,,,,,,,,,,,,,C,,,,,,,,C,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,A,,,C,VA,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,
2006,9/03/2006,7725,Lignite,soft,10,0,84.6,1.482978723,,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,VA,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1/03/2006,7899,Lucas LTB @ Tennis,Soft,16,12.5,95.875,2.25,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,R,,,,,,,,,,R,,,,,R,,,,,R,,,,,R,,R,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,VA,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,
2006,6/03/2006,6850,Mahurangi LTB,soft,16,31.25,118.625,5.485981308,,,,,R,,,R,,,,,,,,,R,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,R,,,,,R,,,,,,VA,,,,,,R,,,,,,R,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,
2006,23/03/2006,1543483,Mangatawhiri,Hard,23,47.82608696,130.4347826,5.358974359,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,,,,,,VA,,,,,R,,,,,,,VA,,,R,,,,,,A,A,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,C,,VA,,,VA,,,C,,C,,C,C,,,,,C,,R,,,,C,,,,,,,,,,,
2006,15/03/2006,44460,Marawhara ,Hard,22,27.27272727,127.2727273,5.788888889,,,,,C,,C,,R,,,,,,,R,,,,,,,,,,,A,,A,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,A,,,,,,,,,,,A,,,,,,,,C,,,,C,,,,VA,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,A,,,R,,R,,,A,,,,,,R,,,,,,,,,,,
2006,28/04/2006,6604,Matakana LTB,soft,15,33.33333333,102.5333333,8.336428571,,,,,,,,,,,,,,,,,R,,,,,,,A,,,R,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVA,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,R,,,R,,,,R,,,,C,,R,,,,,,
2006,16/03/2006,43720,Mauku Stream @ STP,soft,19,15.78947368,73.15789474,3.716532258,,,,,,,,,,,,,,,,,C,,,,,,A,A,,,VA,,,A,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,A,A,,,,,,,,,,,,,C,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,C,,,,,,,,
2006,23/03/2006,1043404,Milne,Hard,37,48.64864865,130.8108108,8.204238921,,,,,A,,C,,C,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,R,,,,,,,,,,,R,R,,,,C,,,,,R,,R,,,R,,,,R,,VA,VA,R,,,,R,,,,,R,,,R,,,,,A,,,,,,,,C,,,,,,,,,,,,,,,,,R,C,,R,C,,C,R,,C,,,R,,C,,VA,C,,,,,R,VA,C,,,,R,R,,,,,,,,,,
2006,16/03/2006,1043824,Ngakaroa LTB,soft,19,31.57894737,82.21052632,2.948167539,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,A,R,,,,,,,,,,,C,,R,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,A,VA,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,C,R,,,R,,,C,,,,,,,,
2006,17/03/2006,7171,Nukumea Upper,Soft,15,26.66666667,91.6,5.215,,,,,,,,,,,,,,,,,,,,,,,R,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,C,,,,,R,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,R,,,,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,R,,,,,,
2006,13/04/2006,8177,Oakley LTB,soft,12,16.66666667,56,2.656929955,,,,,,,,,,,,,,,,,,,,,,,R,VA,,,A,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,R,VVA,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,
2006,28/04/2006,7313,Okura Reserve,soft,17,29.41176471,124.1176471,4.745833333,,,,,,,,R,R,,,,,,,R,C,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,R,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,,,
2006,5/04/2006,7726,Onepoto @ Kauri Glen park,soft,9,22.22222222,92.66666667,2.184496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,VVA,C,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,
2006,3/03/2006,7925,Opanuku LTB,Hard,18,5.555555556,83.33333333,4.517647059,,,,,C,,,,R,,,,,,,,,,,,,,,,,,C,,C,C,,,,,,,,C,,,,,,,,,C,,,,,,C,,,,,R,,,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,
2006,21/03/2006,8608,Orere A,Hard,37,35.13513514,133.5135135,8.070140281,,,,,C,,A,,A,,,,,,,,R,,,,,,,,R,R,,,C,R,,,,,,,,,,R,,,C,,,,,,,,,R,R,R,,,,C,,,,R,R,,,,,R,,,,A,,VA,A,C,,,,R,,,,,A,,,,,,,,VA,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,R,,A,R,C,C,,R,,,A,VA,,,,,R,,,,,,R,,,,,
2006,21/03/2006,8609,Orere B,Hard,23,43.47826087,146.9565217,6.610942249,,,,,,,A,R,A,,,,,,,,R,,,,,,,,,,R,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,C,R,,,,C,,,,,R,,,,,,,,VA,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,C,,R,,,VA,,,,,A,,R,R,,,,,C,,,,,,,,,,,,,,,,,
2006,13/04/2006,8241,Otara LTB,soft,13,7.692307692,49.07692308,1.880487805,R,,,,,,,,,,,,,,,,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,C,,C,C,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,
2006,30/03/2006,107801,Oteha LTB,soft,15,0,53.73333333,2.030275229,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,R,,,,,C,,,C,,A,VVA,R,,,,,,,,,,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,10/03/2006,1043825,Papakura LTB,soft,15,20,58.8,2.050177305,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,,A,VVA,,,,,,,,,R,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,
2006,6/04/2006,1043826,Puhinui LTB,Soft,14,14.28571429,53.57142857,1.385964912,,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,,C,,R,C,,A,C,,,C,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,
2006,31/03/2006,1043827,Puhinui Trib (soft),soft,18,11.11111111,92.88888889,2.79778481,,,,,,,,R,,,,,,,,,,,,,,,C,R,,R,,,,,,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,R,,,R,,,,,,,R,VVA,,,,,,,,C,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,
2006,31/03/2006,1043828,Puhinui Upper (hard),Hard,16,12.5,97.5,7.48630137,,,,,,,,R,R,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,,C,,,,,,R,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,C,,,,,,,,
2006,19/04/2006,7012,Puhoi,soft,15,46.66666667,126.2666667,8.369983416,,,,,,,,,,,R,,,,,,,,,,,,,,C,C,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,,,,,A,,,,,C,,,,,A,,,,C,VVA,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,
2006,23/03/2006,45371,Riverhead,soft,13,53.84615385,110.7692308,5.708108108,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,,R,C,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,
2006,19/04/2006,7212,Shakespear,Soft,7,0,85.14285714,2.291818182,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,10/03/2006,43918,Symonds St @ Ponga,Hard,21,28.57142857,95.23809524,5.908466819,,,,,A,,,,,,,,,,,,,,,,,,A,,,,,C,C,C,,,,,,,,,,,,,,,,R,R,,,,,,C,,,,,,,,,,,,R,,,,,,,A,,,VA,,,,,,,,,,VA,,,,,,,,C,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,R,,A,,,,,,,C,,,,R,,R,,,,,,,,,
2006,1/03/2006,7527,Vaughan Lower,Soft,11,0,56.18181818,2.233974359,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,R,A,C,VA,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,30/03/2006,7526,Vaughan Upper,Soft,11,36.36363636,119.8181818,3.270689655,,,,,,,,,,,,,,,,,,,,,,,,A,,C,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,,
2006,24/03/2006,8553,Wairoa LTB,soft,21,23.80952381,109.6190476,5.334166667,,,,,A,,,,,,,,,,,,,,,,,,,VVA,,,VA,,,A,,,,,,,,,,,R,,,,,,,,,,,,R,C,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,VA,,,,,,R,,R,,,,A,,,,A,,,,,,,,,,,,,C,,,,,,,,,,R,,,R,,,,,,,,R,,,,,,,,,,,R,A,,A,,,,,,,,
2006,22/03/2006,44619,Waitakere River,hard,19,36.84210526,122.1052632,5.119621343,,,,,VVA,,R,,,,,,,,,,,,,,,,,A,,,,,R,A,,,,,,,,,,R,,,,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,A,,R,A,,,,,R,,,,,A,,,,,,,,C,,,,,,,,VVA,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,C,,,,,,,,,,,,R,A,,,,,,,,,
2006,13/03/2006,45745,Waiwhiu @ Frith,soft,18,50,134.6666667,5.771167883,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,R,,,,,,R,,,A,,,,,,,C,R,,,,,VA,,,,,,,,R,,,,C,R,,,VA,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,A,,,,,,,,
2006,15/03/2006,44470,Wekatahi,Hard,25,44,132.8,6.083832335,,,,,R,,R,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,R,,,,C,,A,A,,,,,,,,,R,C,,,,,,,,C,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,R,,R,,,C,,,,,C,R,R,R,,,,,C,,,,,,,R,C,,,,,,,,,
2006,17/03/2006,7213,West Hoe LTB,soft,13,46.15384615,131.2307692,7.413888889,,,,,R,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,
